No,시도,구군,국민행복지수,행복역량지수,여가,사회관계,교육,경제,환경,안전,건강
170,전라남도,담양군,b,0.4838,0.6318,0.7326,0.3737,0.2121,0.6428,0.4273,0.547
171,전라남도,곡성군,c,0.4942,0.8735,0.5911,0.778,0.0748,0.8191,0.4876,0.4416
172,전라남도,구례군,a,0.5721,0.743,0.6244,0.3922,0.0555,0.8333,0.796,0.6572
173,전라남도,고흥군,c,0.429,0.5015,0.1995,0.189,0.0151,0.8551,0.715,0.4851
174,전라남도,보성군,a,0.4684,0.6882,0.3088,0.0683,0.0377,0.9192,0.6399,0.5853
175,전라남도,화순군,a,0.575,0.7755,0.6785,0.6615,0.2053,0.6607,0.6547,0.6129
176,전라남도,장흥군,e,0.3458,0.5507,0.3267,0.1344,0.1096,0.7342,0.6419,0.24
177,전라남도,강진군,c,0.4694,0.6882,0.6734,0.2276,0.0801,0.7295,0.6645,0.4792
178,전라남도,해남군,d,0.4012,0.4834,0.3024,,0.0664,0.7229,0.5232,0.5408
179,전라남도,영암군,e,0.3883,0.8807,0.2163,0.5228,0.5254,0.2336,0.3806,0.2897
180,전라남도,무안군,b,0.5074,0.7899,0.5591,0.8237,0.2631,0.7162,0.5,0.4197
181,전라남도,함평군,a,0.5529,0.7066,0.4599,0.4961,0.0365,0.8023,0.6345,0.7103
182,전라남도,영광군,c,0.4561,0.6159,0.1876,0.5122,0.2436,0.7491,0.6475,0.4051
183,전라남도,장성군,a,0.4773,0.7513,0.5321,0.0853,0.2061,0.8814,0.6643,0.4592
184,전라남도,완도군,e,0.3855,0.6135,0.4794,0.0837,0.0996,0.8204,0.7232,0.2666
185,전라남도,진도군,e,0.3641,0.7364,0.2691,0.2949,0.0593,0.894,0.6804,0.1898
186,전라남도,신안군,e,0.3048,0.606,0.1915,0.2695,0.0203,0.8988,0.6037,0.1162
187,경상북도,포항시,d,0.404,0.3689,0.5338,0.6452,0.4484,0.2852,0.2703,0.3855
188,경상북도,경주시,d,0.4033,0.2951,0.3691,0.6627,0.5391,0.5335,0.1795,0.3539
189,경상북도,김천시,d,0.3422,0.2332,0.2687,0.5189,0.2879,0.5807,0.2369,0.3326
190,경상북도,안동시,c,0.4608,0.3937,0.6605,0.7815,0.225,0.5613,0.4685,0.4155
191,경상북도,구미시,e,0.344,0.3438,0.3133,0.9158,0.7075,0.2851,0.2672,0.0585
192,경상북도,영주시,c,0.4043,0.2259,0.5389,0.6489,0.2283,0.4795,0.6277,0.2906
193,경상북도,영천시,e,0.3331,0.4758,0.087,0.3817,0.2719,0.555,0.2148,0.3744
194,경상북도,상주시,c,0.4034,0.4531,0.3588,0.4685,0.156,0.7916,0.3812,0.4055
195,경상북도,문경시,d,0.3713,0.5747,0.3856,0.4576,0.1794,0.5476,0.471,0.3052
196,경상북도,경산시,d,0.4477,0.2563,0.4969,0.7763,0.4572,0.6624,0.2344,0.4052
197,경상북도,군위군,e,0.277,0.6978,0.3773,0.247,0.1921,0.5672,0.5793,0.0055
